,neighborhood,1,2,3,4,5,6,7,8,9,10,labels
23,"Queen's Park, Ontario Provincial Government",Coffee Shop,Sandwich Place,Italian Restaurant,Café,Bike Rental / Bike Share,French Restaurant,Salad Place,Mediterranean Restaurant,Falafel Restaurant,Burrito Place,0
24,"Regent Park, Harbourfront",Coffee Shop,Pharmacy,Thai Restaurant,Restaurant,Breakfast Spot,Sandwich Place,Café,Pub,Pool,Grocery Store,0
25,"Richmond, Adelaide, King",Coffee Shop,Restaurant,Clothing Store,Café,Gastropub,Gym,American Restaurant,Japanese Restaurant,Italian Restaurant,Seafood Restaurant,0
26,Rosedale,Coffee Shop,Yoga Studio,Office,Salon / Barbershop,Furniture / Home Store,Italian Restaurant,Thai Restaurant,Japanese Restaurant,Park,Art Gallery,0
27,Roselawn,Grocery Store,Convenience Store,Gym Pool,Park,Pub,Caribbean Restaurant,Dog Run,Farmers Market,Farm,Falafel Restaurant,0
28,"Runnymede, Swansea",Food & Drink Shop,Café,Sushi Restaurant,Coffee Shop,Diner,Asian Restaurant,Park,Baseball Field,Farm,Falafel Restaurant,0
29,St. James Town,Coffee Shop,Grocery Store,Diner,Sandwich Place,Caribbean Restaurant,Pizza Place,Pharmacy,Convenience Store,Metro Station,Bistro,0
30,"St. James Town, Cabbagetown",Coffee Shop,Café,Pizza Place,Restaurant,Bakery,Park,Butcher,Pub,Snack Place,Indian Restaurant,0
31,Stn A PO Boxes,Coffee Shop,Hotel,Café,Restaurant,Japanese Restaurant,Movie Theater,Burrito Place,Salon / Barbershop,Sandwich Place,Gym,0
32,Studio District,Miscellaneous Shop,Yoga Studio,Donut Shop,Filipino Restaurant,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,Event Space,Ethiopian Restaurant,2
33,"Summerhill West, Rathnelly, South Hill, Forest Hill SE, Deer Park",Coffee Shop,Hotel,Café,Restaurant,Japanese Restaurant,Movie Theater,Burrito Place,Salon / Barbershop,Sandwich Place,Gym,0
34,"The Annex, North Midtown, Yorkville",Café,Sandwich Place,Burger Joint,Coffee Shop,Pub,Pizza Place,Pet Store,Donut Shop,Modern European Restaurant,Historic Site,0
35,The Beaches,Tea Room,Japanese Restaurant,Bar,Pharmacy,Juice Bar,Mediterranean Restaurant,Nail Salon,Grocery Store,Pizza Place,Chocolate Shop,0
36,"The Danforth West, Riverdale",Pharmacy,Asian Restaurant,Supermarket,Thai Restaurant,Yoga Studio,Dog Run,Fast Food Restaurant,Farmers Market,Farm,Falafel Restaurant,0
37,"Toronto Dominion Centre, Design Exchange",Coffee Shop,Hotel,Café,Salad Place,Restaurant,Japanese Restaurant,Italian Restaurant,Seafood Restaurant,American Restaurant,Beer Bar,0
38,"University of Toronto, Harbord",Café,Restaurant,Park,Bookstore,Japanese Restaurant,Italian Restaurant,Bank,Chinese Restaurant,Bubble Tea Shop,French Restaurant,0
